Letter,Word,Video URL,Image URL
B,BANDAID,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bandaidSm_Prog001.mp4,No Image Available
B,BANDEIRA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bandeiraSm_Prog001.mp4,No Image Available
B,BANDEIRANTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bandeiranteSm_Prog001.mp4,No Image Available
B,BANDEIRINHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bandeirinhaSm_Prog001.mp4,No Image Available
B,BANDEJA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bandejaSm_Prog001.mp4,No Image Available
B,BANDIDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bandidoSm_Prog001.mp4,No Image Available
B,BANGUE-BANGUE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bangue-bangueSm_Prog001.mp4,No Image Available
B,BANGUELA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/banguelaSm_Prog001.mp4,No Image Available
B,BANHAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/banharSm_Prog001.mp4,No Image Available
B,BANHEIRA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/banheiraSm_Prog001.mp4,No Image Available
B,BANHEIRO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/banheiroSm_Prog001.mp4,No Image Available
B,BANHO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/banhoSm_Prog001.mp4,No Image Available
B,BANIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/banirSm_Prog001.mp4,No Image Available
B,BANQUETE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/banqueteSm_Prog001.mp4,No Image Available
B,BAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barSm_Prog001.mp4,No Image Available
B,BARALHO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/baralhoSm_Prog001.mp4,No Image Available
B,BARATA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barataSm_Prog001.mp4,No Image Available
B,BARATO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barato1Sm_Prog001.mp4,No Image Available
B,BARATO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barato2Sm_Prog001.mp4,No Image Available
B,BARATO3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/baratoSm_Prog001.mp4,No Image Available
B,BARBA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barbaSm_Prog001.mp4,No Image Available
B,BARBANTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barbanteSm_Prog001.mp4,No Image Available
B,BARBEADOR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barbeadorSm_Prog001.mp4,No Image Available
B,BARBEADOR ELÉTRICO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barbeador-eletricoSm_Prog001.mp4,No Image Available
B,BARBEIRO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barbeiroSm_Prog001.mp4,No Image Available
B,BARBUDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barbudoSm_Prog001.mp4,No Image Available
B,BARCA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barcaSm_Prog001.mp4,No Image Available
B,BARCO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barcoSm_Prog001.mp4,No Image Available
B,BARRA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barra1Sm_Prog001.mp4,No Image Available
B,BARRA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barra2Sm_Prog001.mp4,No Image Available
B,BARRACA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barracaSm_Prog001.mp4,No Image Available
B,BARREIRA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barreiraSm_Prog001.mp4,No Image Available
B,BARRIGA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barrigaSm_Prog001.mp4,No Image Available
B,BARRIGUDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barrigudoSm_Prog001.mp4,No Image Available
B,BARRIL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barrilSm_Prog001.mp4,No Image Available
B,BARRO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barroSm_Prog001.mp4,No Image Available
B,BARULHENTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barulhentoSm_Prog001.mp4,No Image Available
B,BARULHO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/barulhoSm_Prog001.mp4,No Image Available
B,BASQUETE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/basqueteSm_Prog001.mp4,No Image Available
B,BASTA!,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bastaSm_Prog001.mp4,No Image Available
B,BASTÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bastaoSm_Prog001.mp4,No Image Available
B,BATATA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batataSm_Prog001.mp4,No Image Available
B,BATATA DOCE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batata-doceSm_Prog001.mp4,No Image Available
B,BATATA FRITA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batata-fritaSm_Prog001.mp4,No Image Available
B,BATEDEIRA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batedeiraSm_Prog001.mp4,No Image Available
B,BATER1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bater1Sm_Prog001.mp4,No Image Available
B,BATER2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bater2Sm_Prog001.mp4,No Image Available
B,BATER3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bater3Sm_Prog001.mp4,No Image Available
B,BATERIA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bateria1Sm_Prog001.mp4,No Image Available
B,BATERIA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bateria2Sm_Prog001.mp4,No Image Available
B,BATIDA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batida1Sm_Prog001.mp4,No Image Available
B,BATIDA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batida2Sm_Prog001.mp4,No Image Available
B,BATISMO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batismoSm_Prog001.mp4,No Image Available
B,BATISMO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batismo2Sm_Prog001.mp4,No Image Available
B,BATIZAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batizar1Sm_Prog001.mp4,No Image Available
B,BATIZAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batizar2Sm_Prog001.mp4,No Image Available
B,BATOM,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batomSm_Prog001.mp4,No Image Available
B,BATUCAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/batucarSm_Prog001.mp4,No Image Available
B,BAÚ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bauSm_Prog001.mp4,No Image Available
B,BÊBADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bebadoSm_Prog001.mp4,No Image Available
B,BEBÊ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bebeSm_Prog001.mp4,No Image Available
B,BEBEDOURO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bebedouroSm_Prog001.mp4,No Image Available
B,BEBER1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beber1Sm_Prog001.mp4,No Image Available
B,BEBER2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beber2Sm_Prog001.mp4,No Image Available
B,BEBER3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beber3Sm_Prog001.mp4,No Image Available
B,BEBER4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beber4Sm_Prog001.mp4,No Image Available
B,BEBER5,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beber5Sm_Prog001.mp4,No Image Available
B,BEBIDA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bebidaSm_Prog001.mp4,No Image Available
B,BEGE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/begeSm_Prog001.mp4,No Image Available
B,BEIJA-FLOR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beija-florSm_Prog001.mp4,No Image Available
B,BEIJAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beijar1Sm_Prog001.mp4,No Image Available
B,BEIJAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beijar2Sm_Prog001.mp4,No Image Available
B,BEIJAR3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beijar3Sm_Prog001.mp4,No Image Available
B,BEIJO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beijoSm_Prog001.mp4,No Image Available
B,BEISEBOL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beisebolSm_Prog001.mp4,No Image Available
B,BELEZA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/belezaSm_Prog001.mp4,No Image Available
B,BÉLGICA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/belgicaSm_Prog001.mp4,No Image Available
B,BELICHE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/belicheSm_Prog001.mp4,No Image Available
B,BELISCAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beliscarSm_Prog001.mp4,No Image Available
B,BELO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beloSm_Prog001.mp4,No Image Available
B,BELO HORIZONTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/belo_horizonteSm_Prog001.mp4,No Image Available
