Letter,Word,Video URL,Image URL,Assuntos,Acepção,Exemplo,Exemplo Libras,Classe Gramatical,Origem
B,BILHETE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bilheteSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg18a.jpg,NENHUM,"Comunicação escrita, curta e objetiva.","Ontem, na escola, encontrei um bilhete em cima da mesa.",ONTEM ESCOLA EU ACHAR BILHETE MESA EM-CIMA.,SUBSTANTIVO,Nacional
B,BILINGÜISMO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bilinguismoSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg24.jpg,NENHUM,Característica de quem fala e escreve duas línguas.,Aquela mulher está pesquisando sobre bilingüismo.,MULHER AQUEL@ PESQUISAR SOBRE BILINGUISMO.,SUBSTANTIVO,Nacional
B,BIMESTRE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bimestreSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg,ANO SIDERAL,Relativo ao período de dois meses.,Você precisa ir ao médico neste bimestre.,VOCÊ PRECISAR IR MÉDICO 2^MES AGORA.,SUBSTANTIVO,Nacional
B,BINGO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bingoSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg,ESPORTE/DIVERSÃO,"Jogo em que são sorteados números, enquanto os participantes os marcam em cartelas individuais. Ganha quem primeiro preenche a sua cartela.",Ontem ela ganhou muito dinheiro no bingo.,ONTEM BINGO EL@ GANHAR DINHEIROmuit@.,SUBSTANTIVO,Nacional
B,BINÓCULOS,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/binoculosSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg51a.jpg,APARELHO/MÁQUINA,Instrumento portátil que aproxima da visão qualquer imagem observada à certa distância. Funciona com base em duas lunetas focalizáveis simultâneamente.,"O navio está longe, não consigo vê-lo. Você me empresta seu binóculo?",NAVIO LONGE 3sEMPRESTAR1s SE@ BINÓCULO?,SUBSTANTIVO,Nacional
B,BIOLOGIA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biologiaSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg61.jpg,NENHUM,Ciência que estuda os seres vivos e as leis gerais da vida.,"A minha nota de biologia foi baixa, está vermelha.",NOTA ME@ BIOLOGIA VERMELH@ FRAC@.,SUBSTANTIVO,Nacional
B,BIÓLOGO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biologoSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg61.jpg,PROFISSÃO/TRABALHO,Profissional especializado em biologia; biologista.,O biólogo vem amanhã.,HOMEM^BIOLOGIA VIR AMANHÃ.,SUBSTANTIVO,Nacional
B,BIQUÍNI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biquiniSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg18a.jpg,VESTUÁRIO/COMPLEMENTOS,"Traje feminino, geralmente para usar na praia ou na piscina, composto de sutiã e calcinha de tamanho reduzido.",Ontem eu vi um biquini lindo no shopping e fiquei com vontade de comprá-lo.,ONTEM EU VER S-P BIQUINI LIND@ VONTADE COMPRAR.,SUBSTANTIVO,Nacional
B,BISAVÓ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bisavoSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg32.jpg,FAMÍLIA,Aquele que é o pai do avô ou da avó.,O bisavô dele mora no interior de Minas Gerais.,BISAVÔ DEL@ MORAR INTERIOR MINAS-GERAIS.,SUBSTANTIVO,Nacional
B,BISBILHOTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bisbolhotarSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg,NENHUM,Mexericar; intrigar; fazer comentários indevidos.,Eu não gosto de bisbilhotar a vida das pessoas.,EU GOSTAR-NÃO BISBILHOTAR VIDA PESSOA CADA.,VERBO,Nacional
B,BISCATE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biscateSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg07.jpg,PROFISSÃO/TRABALHO,Trabalho esporádico; bico.,"Hoje, muitos brasileiros fazem biscate.",BRASILEIR@ MUIT@ FAZER BISCATE HOJE.,SUBSTANTIVO,Nacional
B,BISCOITO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biscoitoSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg,ALIMENTO/BEBIDA,"Gulodice doce ou salgada, com ou sem recheios, preparada à base de farinha de trigo, amido de milho ou outros ingredientes.",Você já comeu o biscoito de sabor banana?,BISCOITO BANANA VOCÊ JÁ COMER?,SUBSTANTIVO,Nacional
B,BISNAGA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bisnagaSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg,ALIMENTO/BEBIDA,"Forma do pão, comprida e cilíndrica, afinada nas pontas.","Acabou o pão francês, só tem bisnaga na padaria.",PADARIA PÃOpequen@ ACABAR SÓ cilindro-comprid@PÃO TER.,SUBSTANTIVO,Nacional
B,BISPO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bispo1Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg,PROFISSÃO/TRABALHO,Autoridade religiosa que exerce o governo espiritual de uma diocese.,O bispo adoeceu ontem.,HOMEM BISPO ADOECER ONTEM.,SUBSTANTIVO,Nacional
B,BISSEXUAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bissexualSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg32.jpg,NENHUM,Aquele que apresenta afinidade sexual com pessoas dos sexos masculino e feminino.,Aquela pessoa é bissexual e é feliz.,PESSOA AQUEL@ É BISSEXUAL EL@ FELIZ.,ADJETIVO,Nacional
B,BISTURI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bisturiSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg24.jpg,APARELHO/MÁQUINA,"Instrumento cirúrgico de corte, do qual há vários modelos, de diferentes tamanhos.","É perigoso brincar com o bisturí, não pode.",BISTURI PERIGOS@ BRINCAR PODER-NÃO.,SUBSTANTIVO,Nacional
B,BLASFEMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/blasfemarSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg,NENHUM,"Proferir blasfêmias; dizer palavras que ultrajam a divindade, a religião ou pessoas respeitáveis.","As pessoas não podem blasfemar contra Deus, precisam respeitá-lo.",PESSOA PODER-NÃO BLASFEMAR DEUS PRECISAR RESPEITAR.,VERBO,Nacional
B,BLOCO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bloco1Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg08a.jpg,NENHUM,Reunião de folhas de papel presas por um dos lados.,"Por favor, pegue o bloco para mim.",PEGAR FAVOR BLOCO.,SUBSTANTIVO,Nacional
B,BLOCO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bloco2Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg,NENHUM,Unidade residencial ou comercial; grupo de casas ou apartamentos com uma referência única.,Encontro você no bloco C às três da tarde.,ENCONTRAR VOCÊ LÁ BLOCO C HORA 3 TARDE.,SUBSTANTIVO,Nacional
B,BLOQUEAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bloquearSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg,NENHUM,Tomar medidas junto ao banco para que um ou mais cheques não sejam pagos.,"Meu talão de cheque sumiu, vou ligar para o banco e bloquear.",CHEQUE ME@ SUMIR LIGAR BANCO BLOQUEAR.,VERBO,Nacional
