Word,category,example_pt,example_libras,video_url,hand_gesture
Antebraço,Corpo Humano,Eu tenho uma tatuagem no antebraço.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/antebra%C3%A7o.mp4,
Ânus,Corpo Humano,Os seres humanos têm ânus.,PESSOA++^HUMANO TER ANUS,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/822-anus.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg
Barba,Corpo Humano,Todo homem tem barba.,BARBA TOD@ HOMEM TER,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/832-barba.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/75.jpg
Barriga,Corpo Humano,Vou à academia para ter uma barriga definida.,EU IR ACADEMIA BARRIGA^(ENM-murchar bochecha),https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/823-barriga.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/01.jpg
Bexiga,Corpo Humano,"Se eu beber muita água, minha bexiga ficará cheia.",,Not Available,
Boca,Corpo Humano,Ele está com a boca doendo porque estava andando e trombou com outra pessoa e bateu a boca.,EL@^HOMEM BOCA DOER PORQUE (CL-pessoa colide CL-pessoa) t (CL-bateram a boca),https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01154-boca.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg
Braço,Corpo Humano,A criança de cinco anos de idade quebrou o braço.,CINCO IDADE CRIANÇA BRAÇO QUEBRAR,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/833-bra%C3%A7o.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/15.jpg
Bunda,Corpo Humano,A cadeira ficou com a marca da minha bunda.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bunda-2.mp4,
Cabeça,Corpo Humano,Eu sempre tenho dores de cabeça.,CABEÇA SEMPRE DOR^CABEÇA (CL-forma como a cabeça dói: latejando),https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/834-cabe%C3%A7a.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/11.jpg
Cabelo,Corpo Humano,"Meu cabelo está muito grande, preciso cortar.",ME@ CABELO (CL-forma: cabelo cheio e grande) PRECISAR CORTAR^CABELO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01155-cabelo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/55.jpg
Calcanhar,Corpo Humano,Meu calcanhar está doendo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/calcanhar.mp4,
Caveira,Corpo Humano,Naquele museu há muitas caveiras.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/caveira.mp4,
Cérebro,Corpo Humano,O cérebro está na cabeça.,CABEÇA TER DENTRO CEREBRO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/824-cerebro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/75.jpg
Cílios,Corpo Humano,Ela tem cílios grandes.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cilio.mp4,
Cintura,Corpo Humano,A cintura daquela mulher é fina.,CINTURAdo (CL- corpo: cintura fina),https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01157-cintura.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/43.jpg
Coluna,Corpo Humano,Minha coluna está doendo.,MINHA COLUNA DOER.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01159-costas.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/63.jpg
Coração,Corpo Humano,Meu coração bate forte quando alguém me assusta.,EU NERVOSA MEU CORAÇÃO BATER-MUITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01158-coracao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg
Corpo,Corpo Humano,Praticar esportes ajuda a fortalecer o corpo.,EU PRECISAR CUIDAR-MAIS MEU CORPO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/831-corpohumano.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/43.jpg
Costas,Corpo Humano,Minhas costas estão doendo.,,Not Available,
Costelas,Corpo Humano,O corpo humano possui vinte e quatro costelas.,,Not Available,
Cotovelo,Corpo Humano,"Para andar de patins, precisa-se usar cotoveleira para proteger o cotovelo.",VOCÊ COTOVELO MACHUCAR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01160-cotovelo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/48.jpg
Coxa,Corpo Humano,"Se eu correr bastante, minha coxa fica dura.",SE EU CORRER-MUITO COXA DOR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01161-coxa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Dedo,Corpo Humano,"Ao todo, o ser humano possui 20 dedos.",PESSOA TER 20 DEDOS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01162-dedo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/18.jpg
Dedo anelar,Corpo Humano,O anel de noivado é usado no dedo anelar.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dedo-anelar.mp4,
Dedo indicador,Corpo Humano,Quebrei o meu dedo indicador.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dedo-indicador.mp4,
Dedo médio,Corpo Humano,Meu dedo médio está doendo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dedo-medio.mp4,
Dedo mínimo,Corpo Humano,Prendi o meu dedo mínimo na porta do carro.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dedo-medio-1.mp4,
Dedo polegar,Corpo Humano,Meu dedo polegar é feio.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dedo-polegar.mp4,
