Word,category,example_pt,example_libras,video_url,hand_gesture
PREVIOUS,Comemorações,O aniversário dela é amanhã.,FESTA^ANIVERSARIO SE@ AMANHA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/446-Aniversario.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
NEXT,Comemorações,O aniversário dela é amanhã.,FESTA^ANIVERSARIO SE@ AMANHA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/446-Aniversario.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Aniversário,Comemorações,O aniversário dela é amanhã.,FESTA^ANIVERSARIO SE@ AMANHA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/446-Aniversario.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Carnaval,Comemorações,No carnaval viajarei para Recife.,CARNAVAL VIAJAR CIDADE RECIFE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/451-carnaval.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg
Comemoração,Comemorações,Ontem foi a comemoração dos 50 anos da Associação de Surdos.,ONTEM COMEMORAÇÃO ASSOCIAÇÃO SURD@ 50 ANO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1226-comemoracao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg
Festa,Comemorações,Minha vizinha dará uma festa amanhã.,AMANHÃ FESTA ME@ VIZINH@.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/460-festa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/63.jpg
Festa Junina,Comemorações,A festa junina da igreja teve muitas pessoas.,FESTA JUNINA IGREJA PESSOA-MUIT@.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1228-festajunina.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Matrimônio,Comemorações,A festa de matrimônio foi muito bonita.,,Not Available,
Natal (Data comemorativa),Comemorações,No natal ganharei muitos presentes.,NATAL EU QUERER PRESENTE-MUIT@.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1243-natalfesta.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg
Noivado,Comemorações,Semana que vem irei à uma festa de noivado.,SEMANA PRÓXIMA EU IR FESTA NOIVAR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1231-noivado.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/04.jpg
Páscoa,Comemorações,"No Brasil, comemora-se a páscoa em abril.",COMEMORAR PÁSCOA MÊS ABRIL TOD@ BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/475-pascoa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/25.jpg
Passeata,Comemorações,Os surdos fizeram uma passeata em comemoração ao Dia dos Surdos.,GRUPO SURD@ PASSEATA. OBJETIVO? COMEMORAÇÃO DIA SURD@.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/476-passeata.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg
