Word,category,example_pt,example_libras,video_url,hand_gesture
PREVIOUS,Pessoas e Família,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/acessibilidade.mp4,
NEXT,Pessoas e Família,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/acessibilidade.mp4,
Acessibilidade,Pessoas e Família,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/acessibilidade.mp4,
Adulto,Pessoas e Família,Na idade de 21 anos já é adulto.,IDADE 21 ADULTO JÁ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/889-adulto.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/10.jpg
Afilhado,Pessoas e Família,Eu gosto muito do meu afilhado.,EU GOSTAR-MUITO MEU AFILHADO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1232-afillhado.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/06.jpg
Alguém,Pessoas e Família,Alguém perdeu o celular.,ALGUEM CELULAR PERDER?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1358-alguem.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/56.jpg
Alto,Pessoas e Família,Aquela montanha é muito alta.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alto.mp4,
Amante,Pessoas e Família,"Eles tinham um casamento fiel, nenhum dos dois jamais tiveram amantes.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01586-Amante.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/63.jpg
Amigo,Pessoas e Família,Ontem comi com meu amigo.,ONTEM EU JUNTO AMIGO IR COMER SANDUÍCHE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/890-amigo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Anão,Pessoas e Família,O meu amigo é anão.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/an%C3%A3o.mp4,
Aristóteles,Pessoas e Família,Aristóteles era filósofo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/arist%C3%B3teles.mp4,
Assassino,Pessoas e Família,O detetive descobriu o assassino.,,Not Available,
Baixo,Pessoas e Família,"Mesmo sendo adulto, ainda sou baixo.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/baixo.mp4,
Balbucio,Pessoas e Família,O balbucio da criança é engraçado.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/balbucio.mp4,
Bebê,Pessoas e Família,"Adoro bebês, eles são muito fofos.",EU AMAR BEBÊa ELEa LINDO-MUITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01603-Beb%C3%AA.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Bisavó,Pessoas e Família,Não conheci a minha bisavó.,EU NÃO-CONHECER BISAVÓ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/892-bisav%C3%B3.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg
