Word,category,example_pt,example_libras,video_url,hand_gesture
PREVIOUS,Comunicação e Eletrônicos,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aplicativo.mp4,
NEXT,Comunicação e Eletrônicos,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aplicativo.mp4,
Aplicativo,Comunicação e Eletrônicos,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aplicativo.mp4,
Arbitrariedade,Comunicação e Eletrônicos,É difícil entender sobre a arbitrariedade.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/arbitrariedade.mp4,
Argumento,Comunicação e Eletrônicos,O seu argumento é válido.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/argumento.mp4,
Banco de dados,Comunicação e Eletrônicos,Ele adicionou isso ao seu banco de dados.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/banco-de-dados.mp4,
Câmera,Comunicação e Eletrônicos,Essa câmera é muito cara.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/camera.mp4,
Carta,Comunicação e Eletrônicos,Ontem recebi uma linda carta.,ONTEM CARTA 2p.RECEBER1p. LER BONIT@,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01125-carta.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/25.jpg
Celular,Comunicação e Eletrônicos,Minha namorada comprou um celular com nova tecnologia.,ME@ NAMORAD@ COMPRAR CELULAR NOV@,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01127-celular.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Certo,Comunicação e Eletrônicos,"Após a correção dos exercícios, percebi que tudo estava certo.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/certo.mp4,
Código binário,Comunicação e Eletrônicos,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/codigo-binario.mp4,
Computador,Comunicação e Eletrônicos,Meu computador tem vários arquivos salvos.,EU ARQUIVOS SALVAR MEU COMPUTADOR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01128-computador.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/45.jpg
Comunicação,Comunicação e Eletrônicos,"Temos uma ótima comunicação, você entende tudo o que eu digo","NÓS COMUNICAÇÃO BOM, EU FALAR VOCÊ ENTENDER CLARO.",https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01129-comunicacao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg
Convite,Comunicação e Eletrônicos,O convite de casamento ficou muito bonito.,Coisa-retangularCONVITE CASAMENTO BONIT@-MUIT@.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01130-convite.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/63.jpg
Correio,Comunicação e Eletrônicos,Preciso pegar a carta no correio.,EU PRECISAR CORREIO EU-IR CARTA PEGAR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01131-correio.mp4,
Desligado,Comunicação e Eletrônicos,Meu celular está desligado.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/desligado.mp4,
E-Mail,Comunicação e Eletrônicos,"Por favor, me envie o e-mail.",FAVOR ENVIAR-E-MAIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01132-emailcorreio-eletronico.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/75.jpg
