Word,category,example_pt,example_libras,video_url,hand_gesture
Facebook,Comunicação e Eletrônicos,O Facebook é uma rede social muito usada.,FACEBOOK DENTRO REDE-SOCIAL PESSOA-MUIT@ USAR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01133-facebook.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg
Fax,Comunicação e Eletrônicos,Ultimamente não se usa mais o fax.,"Telefone-teclado FAX PASSADO USAR, HOJE NÃO-USAR.",https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01134-fax.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Informação,Comunicação e Eletrônicos,Há muitas informações importantes no site da Universidade.,SITE UNIVERSIDADE TER INFORMAÇÃO-MUIT@ IMPORTANTE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01138-informacao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Internet,Comunicação e Eletrônicos,"Se você não sabe de algo, é melhor pesquisar na internet.","SE VOCÊ SABER-NÃO COMO, MELHOR IR PESQUISAR INTERNET.",https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01139-internet.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/65.jpg
Jornal,Comunicação e Eletrônicos,Eu gosto de ler jornal pela manhã.,MANHÃ JORNAL EU GOSTAR LER.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01140-jornal.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg
Novela,Comunicação e Eletrônicos,Minha mãe adora assistir novelas.,NOVELA MINHA MÃE ADORAR ASSISTIR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01141-novela.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/08.jpg
Orelhão,Comunicação e Eletrônicos,"Antigamente, o orelhão era muito utilizado.","ORELHÃO PASSADO USAR, HOJE NÃO-USAR.",https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01142-orelhao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg
Programa,Comunicação e Eletrônicos,Adoro assistir aos programas que passam na televisão domingo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01146-programa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg
Propaganda,Comunicação e Eletrônicos,"Na televisão tem muitas propagandas como, por exemplo, de carro, de refrigerante, etc.","TELEVISÃO TER PROPAGANDA-MUITO. EXEMPLO: CARRO, REFRIGERANTE, VÁRIOS.",https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01147-propaganda.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg
Rádio,Comunicação e Eletrônicos,Hoje o rádio anunciou que terá uma feira amanhã.,HOJE RÁDIO AVISAR AMANHÃ TER FEIRA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01148-radio.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/15.jpg
Recado,Comunicação e Eletrônicos,Ele deixou um recado para você.,,Not Available,
Revista,Comunicação e Eletrônicos,Na banca tem revista para vender.,LUGAR-BANCA B-A-N-C-A TER VENDER REVISTA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01150-revista.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Televisão,Comunicação e Eletrônicos,Eu adoro assistir televisão.,,Not Available,
Vídeo game,Comunicação e Eletrônicos,Ontem joguei vídeo game a noite inteira.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/videogame.mp4,
Aço,Construção,Material de aço é difícil quebrar.,OBJETO AÇO QUEBRAR DIFICIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1282-a%C3%A7o.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Asfalto,Construção,Minha rua é pavimentada com pedra. Não tem asfalto.,ME@ RUA SÓ PEDRA ASFALTO TER-NÃO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1286-asfalto.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Casa,Construção,A minha casa é amarela.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/casa.mp4,
Castelo,Construção,Há poucos castelos no Brasil.,,Not Available,
Cimento,Construção,Preciso comprar cimento para construir o muro.,EU PRECISAR COMPRAR CIMENTO MURO CONSTRUIR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1289-cimento.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/55.jpg
Construção,Construção,Minha casa está em construção.,MINHA CASA CONSTRUIR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/687-construcao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg
Dormitório,Construção,O dormitório deste hotel é muito bonito.,,Not Available,
Edifício,Construção,Os edifícios da cidade estão cada vez mais altos.,,Not Available,
Hotel,Construção,Irei viajar e preciso que me indique um hotel.,,Not Available,
Janela,Construção,No meu quarto há duas janelas.,,Not Available,
Jardim,Construção,Que lindo o seu jardim.,,Not Available,
Lanchonete,Construção,Há duas lanchonetes na rodoviária.,,Not Available,
Laticínios,Construção,Na seção de laticínios você irá encontrar a manteiga.,,Not Available,
Loja,Construção,A loja de computadores da minha rua abre às oito horas da manhã.,,Not Available,
Muro,Construção,"Plantei flores no muro, está lindo.",MURO FLORES PLANTAR (apresentação)LINDO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01487-Muro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg
Oficina,Construção,"Meu carro quebrou, preciso levá-lo na oficina.",,Not Available,
Pia De Banheiro,Construção,Lavei a pia do banheiro hoje.,,Not Available,
Piscina,Construção,O meu vizinho tem uma piscina.,,Not Available,
Prédio,Construção,Meu prédio é muito alto.,MEU PRÉDIO-ALTO-MUITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01492-Pr%C3%A9dio.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/61.jpg
Telhado,Construção,Contratei um pedreiro para reformar o telhado da minha casa.,,Not Available,
Teto,Construção,O teto da casa de Maria é de vidro.,,Not Available,
Tijolo,Construção,"Eu preciso construir uma churrasqueira, mas antes tenho que comprar os tijolos.","PRECISAR CONSTRUIR CHURRASQUEIRA, MAS PRIMEIRO COMPRAR TIJOLO.",https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01501-Tijolo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/10.jpg
Torneira,Construção,A torneira da minha casa estragou.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/torneira.mp4,
Torre,Construção,Castelos costumam ter torres altas.,,Not Available,
