Word,category,example_pt,example_libras,video_url,hand_gesture
PREVIOUS,Animais e Insetos,A águia consegue enxergar de muito longe.,ÁGUIA (CL-bater asas) VER ++,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/645-aguia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/44.jpg
NEXT,Animais e Insetos,A águia consegue enxergar de muito longe.,ÁGUIA (CL-bater asas) VER ++,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/645-aguia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/44.jpg
Águia,Animais e Insetos,A águia consegue enxergar de muito longe.,ÁGUIA (CL-bater asas) VER ++,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/645-aguia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/44.jpg
Animal,Animais e Insetos,No zoológico há vários animais.,LUGAR^Z-O-O TER ANIMAL VARI@S,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/561-Animal.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/15.jpg
Asa,Animais e Insetos,A asa do passarinho quebrou e agora ele não consegue voar.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/648-asa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Ave,Animais e Insetos,Há muitas aves voando no céu.,,Not Available,
Boi,Animais e Insetos,Nessa roça há muitos bois bravos.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/boi.mp4,
Burro,Animais e Insetos,O burro é um animal muito inteligente.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/burro-1.mp4,
Cabrito,Animais e Insetos,Eu tenho um cabrito de estimação.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cabrito.mp4,
Cachorra,Animais e Insetos,A cachorra do meu vizinho late muito.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cachorra.mp4,
Cachorro,Animais e Insetos,Ganhei um cachorro no natal.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cachorro.mp4,
Camarão,Animais e Insetos,Ela adora comer camarão.,,Not Available,
Camelo,Animais e Insetos,Sempre tive vontade de montar em um camelo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/camelo.mp4,
Canguru,Animais e Insetos,Na Austrália há muitos cangurus.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/canguru.mp4,
Capivara,Animais e Insetos,É proibido caçar capivara.,,Not Available,
Caramujo,Animais e Insetos,Alguns caramujos são perigosos.,,Not Available,
Caranguejo,Animais e Insetos,O caranguejo entrou no buraco da praia.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/caranguejo.mp4,
Carneiro,Animais e Insetos,Gosto de comer carne de carneiro.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/carneiro.mp4,
Cascavel,Animais e Insetos,Fui picada por uma cascavel ontem.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cascavel.mp4,
Cavalo,Animais e Insetos,Esse cavalo não gosta de mim.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cavalo.mp4,
Cegonha,Animais e Insetos,Ele ainda acredita que as cegonhas carregam bebês.,,Not Available,
Centopeia,Animais e Insetos,Tenho medo de centopeias.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/centopeia.mp4,
Chifre,Animais e Insetos,O touro é um animal que possui chifres.,,https://sistemas.cead.ufv.br/capes/dicionario/class='video-js,
Cisne,Animais e Insetos,Vi um cisne na lagoa.,,Not Available,
Cobra,Animais e Insetos,"Essa cobra tem veneno, tenha cuidado.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cobra.mp4,
Coelho,Animais e Insetos,O mágico tirou o coelho da cartola.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/coelho.mp4,
Coruja,Animais e Insetos,Sempre gostei das corujas.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/coruja.mp4,
Corvo,Animais e Insetos,Há muitos corvos na fazenda.,,Not Available,
Dinossauro,Animais e Insetos,Aquele é um fóssil de dinossauro.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dinossauro.mp4,
Dragão,Animais e Insetos,Nesse filme há um dragão muito grande.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dragao.mp4,
Elefante,Animais e Insetos,"Na Índia, as pessoas usam elefantes como meio de transporte.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/elefante.mp4,
Falcão,Animais e Insetos,"Na minha opinião, os falcões são bonitos.",,Not Available,
Leoa,Animais e Insetos,As leoas sempre protegem seus filhotes.,,Not Available,
Lesma,Animais e Insetos,Há várias lesmas no meu jardim.,,Not Available,
Perereca,Animais e Insetos,Pererecas gostam de lugares secos.,,Not Available,
Pica-Pau,Animais e Insetos,Nunca vi um pica-pau.,,Not Available,
Pinto,Animais e Insetos,Os pintos nascem do ovo da galinha.,,Not Available,
Piranha,Animais e Insetos,Meu pai pescou uma piranha enorme.,,Not Available,
Sanguessuga,Animais e Insetos,Tenho medo de sanguessugas!,,Not Available,
Sapo/Rã,Animais e Insetos,Naquele lago tem muitos sapos.,,Not Available,
Tartaruga,Animais e Insetos,Eu tenho uma tartaruga de estimação.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/tartaruga-1.mp4,
Tigre,Animais e Insetos,O tigre é um animal selvagem.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/tigre.mp4,
Touro,Animais e Insetos,Os touros são muito nervosos.,,Not Available,
Urso,Animais e Insetos,O urso é um animal grande.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/urso.mp4,
Vaca,Animais e Insetos,Adoro leite de vaca.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/vaca.mp4,
Veado,Animais e Insetos,O veado tem chifres.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/veado.mp4,
Verme,Animais e Insetos,O espinafre que comprei na feira estava com verme.,,Not Available,
Zebra,Animais e Insetos,Ontem fui ao zoológico e vi uma zebra.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/zebra.mp4,
