Word,category,example_pt,example_libras,video_url,hand_gesture
Comida,Alimentos,Minha comida favorita é lasanha.,,Not Available,
Couve,Alimentos,Meu pai adora comer couve com carne.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/couve.mp4,
Coxinha,Alimentos,A coxinha daquela padaria está muito cara.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/coxinha.mp4,
Damasco,Alimentos,Eu nunca comi damasco.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/damasco.mp4,
Doce,Alimentos,Eu gosto de comer doce.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/doce.mp4,
Doce de abóbora,Alimentos,Minha mãe sabe fazer doce de abóbora.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/doce-de-abobora.mp4,
Empada,Alimentos,Quero uma empada de frango com bacon.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/empada.mp4,
Ervilha,Alimentos,Odeio comer ervilha.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/Ervilha.mp4,
Espinafre,Alimentos,O espinafre está com um gosto estranho.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/espinafre.mp4,
Farinha,Alimentos,Meu pai está pedindo a farinha de trigo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/farinha.mp4,
Farofa,Alimentos,Precisamos de farinha para fazer farofa.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/farofa.mp4,
Feijão,Alimentos,Eu gosto de comer feijão preto.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/feijao.mp4,
Feijoada,Alimentos,Meu pai faz uma feijoada ótima.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/feijoada.mp4,
Fermento,Alimentos,Usei fermento no bolo para crescer.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01673-fermento.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/08.jpg
Figo,Alimentos,Eu odeio doce de figo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/figo.mp4,
Goiabada,Alimentos,Adoro goiabada.,,Not Available,
Jabuticaba,Alimentos,Fui à feira e comprei jabuticaba.,,Not Available,
Laranja (Fruta),Alimentos,"Chupar laranja faz bem à saúde, ela tem vitamina C.",LARANJA TER VITAMINA C BO@ SAÚDE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/782-laranja.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg
Massa,Alimentos,A massa da pizza é fácil de ser feita.,,Not Available,
Melancia,Alimentos,A melancia é barata!,MELANCIA BARATO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/766-melancia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/11.jpg
Pêra,Alimentos,Pêra é a minha fruta preferida.,FRUTAS PREFERIR PERA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/00939-p%C3%AAra.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/06.jpg
Picolé,Alimentos,"Em dias quentes, gosto de chupar um picolé.",,Not Available,
Sopa,Alimentos,A sopa é um ótimo alimento para os dias frios.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/sopa.mp4,
Sorvete,Alimentos,Eu adoro tomar sorvete em dias quentes.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/sorvete.mp4,
Tomate,Alimentos,O tomate é uma fruta.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/tomate.mp4,
Torrada,Alimentos,Gosto de comer torradas no café da manhã.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/torrada.mp4,
Uva,Alimentos,Uva é a minha fruta preferida.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/uva.mp4,
Vagem,Alimentos,Gosto de comer vagem com arroz.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/vagem.mp4,
Vinho (bebida),Alimentos,Vinho é a minha bebida preferida.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/vinho.mp4,
Vitamina,Alimentos,Laranja tem muita vitamina C.,LARANJA TER MUIT@-VITAMINA C.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1306-vitamina.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/54.jpg
Vitamina (bebida),Alimentos,Adoro vitamina de banana.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/vitamina_bebida.mp4,
